key,Artist,Album,Title,Extension,Index,roman,Genre,Age,Region,Noisy
MUSIC000000,Touhou,Subterranean Animism,Hartmann's Youkai Girl,.wav,15,harutoman,Game,2008,Japan,3
MUSIC000001,Touhou,Subterranean Animism,Last Remote,.wav,14,rasutorimooto,Game,2008,Japan,3
MUSIC000100,Touhou,Embodiment of Scarlet Devil,Tomboyish Girl in Love,.mp3,5,otenbakoimusume,Game,2002,Japan,3
MUSIC000101,Touhou,Embodiment of Scarlet Devil,Shanghai Teahouse ~ Chinese Tea,.mp3,6,shanhaikouchakan,Game,2002,Japan,3
MUSIC010000,Blackmore's Night,Shadow Of The Moon,Shadow Of The Moon,.mp3,1,shadouobuzamuun,Folk,1997,German,2
MUSIC010001,Blackmore's Night,Shadow Of The Moon,No Second Chance,.mp3,11,noosekandochansu,Folk,1997,German,2
MUSIC010002,Blackmore's Night,Shadow Of The Moon,Greensleeves,.mp3,14,guriinsuriibusu,Folk,1997,German,2
MUSIC020000,Akiko Shikata,Haikyo To Rakuen,Roma No Musume,.mp3,2,romanomusume,Folk,2003,Japan,3
MUSIC020100,Akiko Shikata,Umineko No Naku Koro Ni,Umineko No Naku Koro Ni,.mp3,1,uminekononakukoroni,Folk,2008,Japan,4
MUSIC020101,Akiko Shikata,Umineko No Naku Koro Ni,Katakoi,.mp3,2,katakoi,Folk,2008,Japan,3
